"","m/z","RT","compound_name","lipid_species","lipid_class","sample","intensity","treatment","polarity"
"9730",569.47858390067,949.522,"DAG 31:0 +1O","DAG","IP_DAG","Orbi_1230",0,"Control","negative"
"9731",947.647182101495,951.302,"MGDG 43:6 +1O","MGDG","IP_DAG","Orbi_1230",59939.5591562758,"Control","negative"
"9732",994.637732339768,949.522,"PC 44:7 +3O","PC","IP_DAG","Orbi_1230",0,"Control","negative"
"9733",945.50228860256,827.751,"SQDG 42:10 +2O","SQDG","IP_DAG","Orbi_1230",59668.9071026682,"Control","negative"
"9734",833.54229193307,809.809,"MGDG 36:6","MGDG","IP_DAG","Orbi_1230",1022173.29276667,"Control","negative"
"9735",943.486820781785,810.941,"SQDG 42:11 +2O","SQDG","IP_DAG","Orbi_1230",0,"Control","negative"
"9736",707.510362255988,816.0055,"DAG 38:4 +4O","DAG","IP_DAG","Orbi_1230",0,"Control","negative"
"9737",889.579890336124,816.567,"PG 41:3 +3O","PG","IP_DAG","Orbi_1230",42112.7114582992,"Control","negative"
"9738",953.528637884754,864.304,"SQDG 41:7 +3O","SQDG","IP_DAG","Orbi_1230",0,"Control","negative"
"9739",1125.71276893577,849.019,"DGDG 40:1 +4O","DGDG","IP_DAG","Orbi_1230",0,"Control","negative"
"9740",745.505241144942,852.064,"DAG 44:11 +2O","DAG","IP_DAG","Orbi_1230",3049554.78323239,"Control","negative"
"9741",705.507847992625,852.076,"PA 35:0 +1O","PA","IP_DAG","Orbi_1230",641046.167320974,"Control","negative"
"9742",689.499742180985,866.28,"DAG 38:5 +3O","DAG","IP_DAG","Orbi_1230",0,"Control","negative"
"9743",767.493238342801,865.082,"MGDG 31:4","MGDG","IP_DAG","Orbi_1230",33110.2673684651,"Control","negative"
"9744",648.461255089436,848.683,"PE 29:0","PE","IP_DAG","Orbi_1230",473396.982105188,"Control","negative"
"9745",813.474907518153,645.259,"PDPT 33:5","PDPT","IP_DAG","Orbi_1230",75020.0228937779,"Control","negative"
"9746",634.445450618281,809.392,"PE 28:0","PE","IP_DAG","Orbi_1230",470690.464239064,"Control","negative"
"9747",549.452452209328,837.349,"DAG 31:2","DAG","IP_DAG","Orbi_1230",0,"Control","negative"
"9748",974.61405623383,838.3545,"PC 44:9 +2O","PC","IP_DAG","Orbi_1230",1370711.04950854,"Control","negative"
"9749",716.523963643207,967.07,"PE 34:1","PE","IP_DAG","Orbi_1231",3111850.44020912,"+NP","negative"
"9750",742.539739555181,967.137,"PE 36:2","PE","IP_DAG","Orbi_1231",1975404.18895293,"+NP","negative"
"9751",869.558799146878,987.639,"PDPT 34:0 +2O","PDPT","IP_DAG","Orbi_1231",331588308.711685,"+NP","negative"
"9752",395.389293943498,967.07,"FFA 26:0","FFA","FFA","Orbi_1231",14746504.1804761,"+NP","negative"
"9753",770.615588614927,961.202,"DGTS_DGTA 32:0","DGTS_DGTA","IP_DAG","Orbi_1231",74067.1096542619,"+NP","negative"
"9754",681.531285046544,969.4745,"DAG 37:2 +3O","DAG","IP_DAG","Orbi_1231",476468.947798941,"+NP","negative"
"9755",690.50827489267,958.8685,"PE 32:0","PE","IP_DAG","Orbi_1231",926137.574142259,"+NP","negative"
"9756",695.547202657836,989.664,"DAG 38:2 +3O","DAG","IP_DAG","Orbi_1231",707599.621084954,"+NP","negative"
"9757",792.555561451672,958.2855,"PE 40:5","PE","IP_DAG","Orbi_1231",708189.801920276,"+NP","negative"
"9758",795.591522110147,956.8445,"PA 43:3","PA","IP_DAG","Orbi_1231",491154.719045312,"+NP","negative"
"9759",796.63138236222,972.809,"DGTS_DGTA 34:1","DGTS_DGTA","IP_DAG","Orbi_1231",1166925.0560186,"+NP","negative"
"9760",813.588998613372,983.7545,"DAG 46:7 +4O","DAG","IP_DAG","Orbi_1231",354632.774534638,"+NP","negative"
"9761",822.647833628879,977.357,"DGTS_DGTA 36:2","DGTS_DGTA","IP_DAG","Orbi_1231",912532.554296298,"+NP","negative"
