"","m/z","RT","compound_name","lipid_species","lipid_class","sample","intensity","treatment","polarity"
"10915",951.6784436,1046.075,"MGDG 43:4 +1O","MGDG","IP_DAG","Orbi_1233",338394.190443681,"+NP","negative"
"10916",783.6146202,1045,"DAG 46:6 +2O","DAG","IP_DAG","Orbi_1233",208135.990634617,"+NP","negative"
"10917",736.4928362,855.321,"PE 36:5","PE","IP_DAG","Orbi_1233",3083520.04801724,"+NP","negative"
"10918",525.452242,852.759,"DAG 29:0","DAG","IP_DAG","Orbi_1233",63466.2420233326,"+NP","negative"
"10919",695.4898408,852.3375,"DAG 40:8 +2O","DAG","IP_DAG","Orbi_1233",51721.6867716993,"+NP","negative"
"10920",353.342587,857.3345,"FFA 23:0","FFA","FFA","Orbi_1233",1608438.39773644,"+NP","negative"
"10921",867.5851758,852.759,"MGDG 37:4 +1O","MGDG","IP_DAG","Orbi_1233",11403.2266484727,"+NP","negative"
"10922",947.5822903,852.311,"PDPT 43:8","PDPT","IP_DAG","Orbi_1233",28973.5711347102,"+NP","negative"
"10923",1031.704073,839.893,"MGDG 48:7 +2O","MGDG","IP_DAG","Orbi_1233",0,"+NP","negative"
"10924",798.4728062,799.336,"PE 40:10 +1O","PE","IP_DAG","Orbi_1233",12283.129353628,"+NP","negative"
"10925",938.5924489,800.026,"PC 44:11","PC","IP_DAG","Orbi_1233",76203.6053377524,"+NP","negative"
"10926",1123.697059,797.049,"DGDG 40:2 +4O","DGDG","IP_DAG","Orbi_1233",0,"+NP","negative"
"10927",797.6070502,990.269,"PA 43:2","PA","IP_DAG","Orbi_1233",866856.234703852,"+NP","negative"
"10928",297.1344305,81.7703,"MAG 12:4 +2O","MAG","IP_MAG","Orbi_1233",64014.8685593387,"+NP","negative"
"10929",227.0921678,75.689,"PUA 11:3 +4O","PUA","PUA","Orbi_1233",328360.575920602,"+NP","negative"
"10930",311.1503938,81.7703,"FFA 16:4 +4O","FFA","FFA","Orbi_1233",0,"+NP","negative"
"10931",295.1551254,80.27565,"FFA 16:4 +3O","FFA","FFA","Orbi_1233",352230.975495281,"+NP","negative"
"10932",237.1129927,81.8208,"MAG 10:4","MAG","IP_MAG","Orbi_1233",183052.996888681,"+NP","negative"
"10933",253.10821,78.7305,"MAG 10:4 +1O","MAG","IP_MAG","Orbi_1233",66609.6430174516,"+NP","negative"
"10934",255.1238009,81.7542,"MAG 10:3 +1O","MAG","IP_MAG","Orbi_1233",385699.077839368,"+NP","negative"
"10935",385.1870754,78.74765,"MAG 16:4 +4O","MAG","IP_MAG","Orbi_1233",0,"+NP","negative"
"10936",313.1295547,78.782,"MAG 12:4 +3O","MAG","IP_MAG","Orbi_1233",13098.469886704,"+NP","negative"
"10937",746.571553,1036.29,"PE 36:0","PE","IP_DAG","Orbi_1233",0,"+NP","negative"
"10938",979.6591712,1032.69,"DGDG 34:0","DGDG","IP_DAG","Orbi_1233",121538.649443702,"+NP","negative"
"10939",1001.73018,1031.605,"MGDG 48:6","MGDG","IP_DAG","Orbi_1233",0,"+NP","negative"
"10940",367.3579953,900.6395,"FFA 24:0","FFA","FFA","Orbi_1233",14011310.3944201,"+NP","negative"
"10941",351.2178928,94.27125,"FFA 20:4 +3O","FFA","FFA","Orbi_1233",19186.8403416005,"+NP","negative"
"10942",339.1813084,100.021,"FFA 18:4 +4O","FFA","FFA","Orbi_1233",8288.70126087286,"+NP","negative"
"10943",872.5425948,943.609,"PE 44:9 +2O","PE","IP_DAG","Orbi_1233",329496.202361287,"+NP","negative"
"10944",923.5333513,861.253,"PDPT 36:3 +4O","PDPT","IP_DAG","Orbi_1233",29009.9041434807,"+NP","negative"
"10945",714.5083158,915.088,"PE 34:2","PE","IP_DAG","Orbi_1233",14234550.4569104,"+NP","negative"
"10946",688.4924317,909.7175,"PE 32:1","PE","IP_DAG","Orbi_1233",9769586.58042828,"+NP","negative"
"10947",700.492574,890.6745,"PE 33:2","PE","IP_DAG","Orbi_1233",2349430.04166528,"+NP","negative"
"10948",788.5238713,886.6855,"PE 40:7","PE","IP_DAG","Orbi_1233",1476826.47999544,"+NP","negative"
"10949",738.5082415,907.8055,"PE 36:4","PE","IP_DAG","Orbi_1233",152022.304284579,"+NP","negative"
"10950",742.5842556,912.279,"DGTS_DGTA 30:0","DGTS_DGTA","IP_DAG","Orbi_1233",88631.8834227856,"+NP","negative"
"10951",667.5163077,932.1175,"DAG 36:2 +3O","DAG","IP_DAG","Orbi_1233",128718.902169519,"+NP","negative"
"10952",676.4924326,925.137,"PE 31:0","PE","IP_DAG","Orbi_1233",474926.126754882,"+NP","negative"
"10953",662.4768893,892.3855,"PE 30:0","PE","IP_DAG","Orbi_1233",1510348.18825936,"+NP","negative"
"10954",768.5997954,919.095,"DGTS_DGTA 32:1","DGTS_DGTA","IP_DAG","Orbi_1233",494127.800188607,"+NP","negative"
"10955",793.5756118,921.8085,"PA 43:4","PA","IP_DAG","Orbi_1233",534671.081523856,"+NP","negative"
"10956",794.6156788,928.203,"DGTS_DGTA 34:2","DGTS_DGTA","IP_DAG","Orbi_1233",364557.863006812,"+NP","negative"
"10957",673.5049724,938.02,"DAG 38:5 +2O","DAG","IP_DAG","Orbi_1233",704181.656040248,"+NP","negative"
"10958",813.5740142,933.894,"MGDG 34:2","MGDG","IP_DAG","Orbi_1233",283550.1030791,"+NP","negative"
