"","peakgroup_mz","peakgroup_mzmin","peakgroup_mzmax","peakgroup_rt","peakgroup_rtmin","peakgroup_rtmax","npeaks","mzXML_pos","Orbi_1129","Orbi_1130","Orbi_1131","Orbi_1132","Orbi_1133","Orbi_1134","Orbi_1135","Orbi_1136","xcms_peakgroup","isotopes","CAMERA_pseudospectrum","LOBdbase_frag_ID","LOBdbase_exact_parent_neutral_mass","LOBdbase_mz","lipid_class","species","major_adduct","FA_total_no_C","FA_total_no_DB","degree_oxidation","elem_formula","compound_name","C1","C1x","C2a","C2b","C3c","C3f","C3r","C4","C5","C6a","C6b","casecodes","LOBdbase_ppm_match","match_ID"
"3841",651.228268342589,651.207305594464,651.242404019523,318.960941267561,314.609757409352,399.270191824773,10,8,3019948.44925742,4150145.75255219,2094887.13559714,70145.4768593749,3077162.81645368,3051853.94181194,2625655.65401953,2448060.41162053,4177,"[383][M+1]+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3842",651.277489863606,651.277398838208,651.277809952314,109.672616840583,104.194681034173,110.77743366451,5,5,974716.296572388,551994.642248611,324012.809829364,735669.419161127,1067416.38595734,1382868.80710055,909394.713925781,1347637.04924259,4178,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3843",651.388017071114,651.387896479883,651.408024512204,800.000705107999,798.531543486095,844.081960952693,10,8,5173053.12801562,4973453.91959766,5475384.98969354,5053155.93423258,4625469.41235617,4739053.41284269,4740226.01084162,4748947.61283539,4179,"[385][M]+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3844",651.329491839455,651.327826480245,651.367453151041,397.291114782784,346.624597523357,399.780918751365,12,8,833787.954832616,581930.857346784,542919.096363281,909690.542824544,551832.002089306,592873.892535694,326149.377833496,351776.625322798,4180,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3845",651.349906552352,651.330027578917,651.370737378465,125.554018677887,75.4709957130136,149.855599749621,8,7,1965348.65335993,1647113.66346042,1299284.14808357,1135249.91689187,1868372.06188316,1769936.94266641,2798351.28645892,2255280.15248453,4181,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3846",651.489891217291,651.452367650943,651.497671831483,734.810711587717,713.130575449507,764.325057137707,15,8,1082528.11442871,721702.955794364,706654.641316407,1290821.26062183,2055517.0153566,469981.135195313,473233.614297363,1449701.48701159,4182,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3847",651.623357117337,651.553101290793,651.651381549965,1030.32529786862,1005.02318142819,1053.14237848318,11,6,105907.341031249,518068.573076662,0,283915.270305175,383457.783582951,104423.386961426,195252.429181641,242404.054921873,4183,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3848",651.472129826814,651.471285871378,651.47406250284,580.555095549147,577.202830679601,617.368992699418,9,7,351258.206327908,178670.329200443,150222.024385416,438154.444414064,559794.120994995,448287.951630494,264609.167958106,299801.181406738,4184,"[381][M+2]+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3849",651.648248818673,651.622267501898,651.648400179925,1113.38452827015,1111.69741958611,1124.13633704767,6,5,731668.566367185,1486593.40219141,214697.137976563,829244.7495784,1062778.67657117,454100.023091965,1192728.24619739,1146384.44159765,4185,"[384][M+1]+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3850",652.121884503518,652.120985028149,652.122215733754,719.916361723866,718.722016439215,722.01749410203,7,7,247547.769485156,157668.095295684,624698.088940795,192238.973977345,304082.232217448,380231.270445314,191154.241072429,267840.912882812,4187,"[380][M+3]+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3851",652.330150825375,652.188954265211,652.369660812491,107.831249910337,24.999692038498,140.914167319636,21,8,995666.721665279,419639.906468262,156520.825347107,1452958.83662732,980857.272128509,1071458.25710547,1317013.98759684,399906.099592285,4188,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3852",652.391349937945,652.391212755115,652.413825419007,799.788517699607,722.901180068213,800.241325377215,9,8,1745540.37973711,1644160.08358301,1845118.11625391,1702405.43235085,1580566.14381016,1485199.70267578,1434094.00550918,1284482.99794965,4189,"[385][M+1]+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3853",652.227519477657,652.221621799539,652.229808979422,317.789537264255,316.522290882718,320.84589662237,6,6,756760.923528249,750918.577580322,277491.345551783,772163.06074693,851889.607567628,569020.126451334,674770.467365028,432724.909395061,4190,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3854",652.369304297182,652.332045001852,652.407430121085,416.81717900074,396.473200816006,437.233262463354,10,7,263413.937147569,147467.650247628,113842.498478213,236587.455371094,162940.180103613,155752.510620117,621314.712326388,609471.619890137,4191,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3855",652.630750482271,652.557179316919,652.654967266996,1038.55403242114,999.171857572656,1052.21930534538,17,7,1450583.8092334,2756519.29684462,1729388.24401787,380704.818586425,1599530.70453994,1105951.52518228,1593416.0709824,3766626.38242187,4195,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3856",653.223762283582,653.213351664944,653.224127998152,480.70614476735,425.69027986428,483.657389494262,7,5,159605.705638183,181550.681708984,99655.4414417968,191755.230281168,137159.051700104,209411.068644671,118373.604416607,194357.295410809,4198,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3857",653.194601963561,653.125709884947,653.257756050233,110.407742591764,50.323820870994,128.213788051585,5,4,1580630.69121896,694863.588209797,305197.343898757,171815.616228215,705836.78573616,189395.024139343,663523.4874996,466278.784994422,4199,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3858",653.391015029523,653.389413906352,653.393294466353,799.441420026511,796.837584734722,800.241325377215,6,6,342883.280230189,163517.016838355,303925.499294573,306604.964239702,216607.126243809,306121.001276506,297676.217446429,182930.168554199,4200,"[385][M+2]+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3859",653.293777153134,653.291954989861,653.374076705924,127.930905948203,110.77743366451,172.935097369329,12,7,3325944.96970842,2106632.18191242,995467.448373788,2424411.82739432,3081842.8466089,3841927.88755474,2955080.13281877,5245486.75107443,4201,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3860",653.454768731859,653.452813763592,653.535262329822,931.683223868787,887.52769028568,966.382153054884,11,7,206952.917579978,248937.39626137,519288.05484668,231405.638138021,211523.785901367,212761.233384928,237667.083263044,171835.987101563,4202,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3861",653.416427724679,653.330064496463,653.503382520315,460.330813057212,390.591597520488,517.801181223953,11,6,79029.285807617,82739.5137367189,40134.5193244086,132801.47866113,247984.202189778,142363.004773145,283462.841595704,594374.068811034,4203,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3862",653.499266582955,653.463436700019,653.566561084552,791.16392039331,757.544840283234,838.854294522004,19,8,1776552.21480762,2289980.6867064,880357.31814624,2119693.79353741,2164969.21928284,1477762.27424281,1951967.01573389,2290812.77618771,4204,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3863",653.657821421993,653.591304498243,653.658501844568,1050.68759862547,1030.443297643,1080.13403833232,12,8,496687.570359382,448337.045249994,362041.206398437,536251.02263086,730790.838378906,374652.206445314,1503061.07876626,766653.416503906,4205,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3864",653.465697329661,653.41662281695,653.503376498286,687.463962154269,651.146352238563,691.37359736331,9,6,151849.832914516,275861.806437204,38431.6727331839,197122.30129562,242882.889519314,305678.776029622,181314.35022998,468831.332823046,4206,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3865",653.664092316638,653.638166035821,653.664413192896,1127.0437258814,1125.42735523507,1138.66707381729,7,6,722476.311465262,1091921.00515869,321382.628872764,757370.531249999,1085623.80364956,292531.955589845,590337.489104002,927193.86667969,4207,"[386][M+1]+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3866",653.999848113287,653.963504276015,653.99997593191,1297.67129277205,1176.75273449648,1461.74332864382,27,6,4993846.64687498,7246453.08823657,4747216.69599447,8672595.73442028,14610579.2709293,5204954.55873498,9158473.31072917,18260353.9213515,4208,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3867",653.999853181387,653.963605340158,654.000273171214,1648.38012648012,1556.27823325146,1736.35201185891,14,4,1416270.5071875,8920048.57997013,3839301.86620174,9023146.06768975,9333073.68873959,1625775.76592151,5629033.14255683,16606524.7316504,4209,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3868",653.999856497928,653.99842686738,654.000144826727,1116.89769134704,1006.4224612882,1147.16613573082,9,4,6770584.09987848,9858517.68234607,12968394.8632413,9505307.26112039,437957.48768612,19565144.6104872,9897376.31354167,12422815.5347578,4210,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3869",654.191612096767,654.190350204369,654.192609188826,205.359794579173,202.8028900194,207.506297839214,8,8,3529602.1246694,3354575.43295937,1710007.45237856,2962151.18489167,3428111.67752046,3890283.19581862,3299259.37993812,2775685.42743922,4211,"[387][M+1]+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3870",654.300527659946,654.297308426429,654.348479081877,113.383745350128,101.26262845197,130.856412633227,12,8,1227738.78682857,441040.991585582,162187.972525749,258215.355738167,1051951.81393691,1445805.76358644,1409084.49320607,531704.482892171,4213,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3871",654.465324768922,654.436978854192,654.473066738606,555.339930945993,548.04913009803,591.904469117168,16,8,4754054.33684302,3828304.56046628,2355943.34301465,4792074.2284686,4507539.89802441,3140893.94612175,110704.222235839,1527523.10836222,4215,"[389][M]+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
