"","peakgroup_mz","peakgroup_mzmin","peakgroup_mzmax","peakgroup_rt","peakgroup_rtmin","peakgroup_rtmax","npeaks","mzXML_pos","Orbi_1229","Orbi_1230","Orbi_1231","Orbi_1232","Orbi_1233","Orbi_1234","Orbi_1235","Orbi_1236","xcms_peakgroup","isotopes","CAMERA_pseudospectrum","LOBdbase_frag_ID","LOBdbase_exact_parent_neutral_mass","LOBdbase_mz","lipid_class","species","major_adduct","FA_total_no_C","FA_total_no_DB","degree_oxidation","elem_formula","compound_name","C1","C1x","C2a","C2b","C3c","C3f","C3r","C4","C5","C6a","C6b","casecodes","LOBdbase_ppm_match","match_ID"
"3411",675.525646986043,675.472138856242,675.53125308748,672.6575,578.902,720.202,16,6,4324106.68702344,851383.530112585,0,2406468.18986016,0,18074737.706168,1317823.97763636,10580220.8191496,3823,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3412",675.508692270178,675.426376927406,675.509004786144,153.824,117.022,157.383,6,6,574044.449934127,304311.135404199,542554.602990385,136316.578756259,491370.114522618,430446.462589803,320833.264478253,438546.516445923,3824,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3413",675.607885100723,675.556339358562,675.648197525961,1088.77,1053.97,1106.04,9,5,5730124.31489259,36103.5105041947,0,2121077.17595702,0,5228445.50407285,670636.513835452,1135578.24462891,3825,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3414",675.586918741471,675.551628251223,675.623299154304,967.1615,900.831,989.534,10,6,266480.22409375,883620.689602865,0,490575.18737744,0,386324.245143229,409539.584956378,486176.3501875,3826,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3415",675.566725391672,675.541752143971,675.567581830405,838.648,814.055,841.398,5,4,292732.836704334,0,215555.995480956,135290.08880127,0,1556408.98598193,357445.654343817,1082591.96640363,3827,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3416",676.2695786056,676.173559132679,676.26976431308,188.419,185.203,216.8,5,5,1200976.76514934,0,483675.122161214,314122.454610884,0,3476657.73968426,44482.4659107934,1322233.52910108,3828,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3417",676.306266955131,676.306023894664,676.360034451678,345.01,292.929,345.277,6,5,2016097.14913965,103452.907730779,77247.9969988068,1351544.71911621,0,4837060.04434202,696136.487556152,3163849.68750673,3829,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3418",676.457268623314,676.457165555978,676.534686466758,539.735,536.409,601.288,6,5,1073398.69643335,29642.5815867402,1556916.11555823,2435255.59320978,40311.8849919601,5647745.4493161,753745.306721506,3605217.7114562,3832,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3419",676.563952786051,676.527719955923,676.635854991268,970.1775,944.633,1019.18,22,8,2364819.97372917,992321.132754642,3652997.7251416,397344.876931054,237431.929928906,719669.63713594,7792215.08901651,737133.409752231,3834,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3420",676.630770463963,676.559173448536,676.660738681925,1100.905,1051.09,1128.04,12,6,0,5689368.41623046,1530984.23025,445169.194073658,1009948.38794922,0,2390189.73641276,3574800.0436328,3835,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3421",677.005290681409,676.946924699425,677.005530089785,1660.87,1646.18,1663.76,7,6,2835279.27137661,2526513.81393554,3177799.08535546,3088664.52465276,2670625.63850263,2212872.22143881,2517974.91976221,2105462.07498047,3836,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
